id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,publication_year_status,publication_year_display,publication_year_basis,publication_year_note,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-023-personalized-calibration-and-hybrid-feature-fusion-for-continuous-blood-,Personalized Calibration and Hybrid Feature Fusion for Continuous Blood Pressure Estimation Using PPG and ECG Signals,2026,2026-08-14,paper,Sensors,10.3390/s26154676,https://doi.org/10.3390/s26154676,primary-metadata/abstract,PPG | cuffless BP | calibration/personalization,not_reported,PPG | ECG,从 ECG/PPG 提取 PTT、HRV、PPG morphology，并用 masked reconstruction encoder 学 embedding；把最早 calibration file 的 base BP 通过 alpha-weighted 策略加入 XGBoost。,私有数据与 BP-UCI 的 SBP/DBP MAE 分别为 7.25/3.98 和 7.85/4.02 mmHg；作者仅表述为当前实验下的方法可行性。,在小样本条件下融合手工生理特征、自监督波形表示和个人 baseline BP。,从 ECG/PPG 提取 PTT、HRV、PPG morphology，并用 masked reconstruction encoder 学 embedding；把最早 calibration file 的 base BP 通过 alpha-weighted 策略加入 XGBoost。,私有数据与 BP-UCI 的 SBP/DBP MAE 分别为 7.25/3.98 和 7.85/4.02 mmHg；作者仅表述为当前实验下的方法可行性。,个体 baseline 有帮助，但 SBP 仍偏高，且需要更大、更丰富队列。,这是明确的个体校准模型，成绩不能与免校准或 subject-independent 方法直接比较。,推理需 ECG+PPG、已保存的个人 base BP 和模型特征；当前 BP 不需要。,最早文件作校准可避免当前目标直接输入，但校准/测试文件与 subject split 细节未充分报告，风险中等。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,personal baseline BP,,earliest calibration file,使用个人最早 calibration file 的 base BP。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,conditional,有条件可部署,PPG | ECG | stored personal base BP,false,推理需 ECG+PPG、已保存的个人 base BP 和模型特征；当前 BP 不需要。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,使用个人最早 calibration file 的 base BP。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,最早文件作校准可避免当前目标直接输入，但校准/测试文件与 subject split 细节未充分报告，风险中等。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-024-cuffless-hemodynamic-monitoring-with-physics-informed-machine-learning-m,Cuffless hemodynamic monitoring with physics-informed machine learning models,2026,2026-08-15,paper,Nature Communications,10.1038/s41467-026-72693-1,https://www.nature.com/articles/s41467-026-72693-1,primary-full-text,BioZ | cuffless BP | sPINN | physics-informed ML | smartwatch,PulseDB + synthetic BioZ | 75 healthy participants | hypertension/CVD clinical cohorts | one-year pilot,wrist BioZ resistance/reactance | space-time coordinates | optional anthropometric/anatomical metadata,BioZ signal encoder plus signal-tagged PINN constrained by Navier–Stokes/elastic-tube physics predicts BP and radial/axial velocity fields.,Cross-sectional r² ranges about 0.588–0.854 across cohorts; subject-specific models reached higher r². One-year pilot required daily recalibration to maintain performance.,用 BioZ 和物理约束模型同时估计 BP 与血流动力学状态，并观察长期使用时是否稳定。,BioZ encoder 与 signal-tagged PINN 结合，用 Navier–Stokes 和弹性管模型约束 BP 及径向/轴向速度场。,不同队列的横断面 r² 约 0.588–0.854，个体专属模型更高；一年 pilot 中需要每日重新校准才能维持表现。,物理约束提高了可解释性，但长期稳定性仍依赖高频校准，当前硬件续航也限制连续部署。,是很有价值的 BioZ+sPINN 研究原型，还不是低维护、长期自主运行的设备。,报告配置下连续 BLE 续航约 6 小时，长期使用还需要每日 recalibration。,需要明确每日重新校准使用的参考 BP；若同日测试紧邻校准，长期泛化可能被高估。,已完成重点审核,verified,2026,此前重点深审记录,当前年份按本记录所对应的正式文章或预印本版本填写。,population model plus optional subject-specific/daily recalibration,,daily in longitudinal pilot,"Despite calibration-free framing, full text reports limited longitudinal generalization and daily recalibration in the pilot.",mixed/limited,Population-wide results are shown without test-exclusive patients; subject-specific results are not unseen-subject generalization.,clinical feasibility cohorts,"healthy, hypertension, CVD and ICU/outpatient cohorts",No established cuffless BP validation protocol yet.,promising-but-not-ready,硬件可穿戴，算法纵向稳定性不足,wrist BioZ | stored model | optional demographics | possibly recent recalibration,not for each estimate; daily reference may be needed longitudinally,Watch battery about 6 h under continuous BLE in reported configuration.,high evaluation/generalization risk,not identified as current-window inverse scaling,paired BP used to train adaptive filter,paired signals used in training,unknown,daily reference recalibration in longitudinal pilot,not fully audited,population results not test-exclusive; subject-specific models are personalized,"Not necessarily classic target leakage, but evidence does not establish calibration-free unseen-user longitudinal deployment.",priority-reviewed,2026-08-24,重点深审。
ppgbp-025-apnea-burden-guided-framework-enhancing-out-of-distribution-generalizati,Apnea Burden-Guided Framework: Enhancing Out-of-Distribution Generalization in PPG-Based Sleep Apnea Characterization,2026,2026-08-15,paper,arXiv,,https://arxiv.org/abs/2608.12229,primary-abstract,PPG,not_reported,PPG,先回归连续 apnea burden，再转成 AHI 并做四级 subject-level 分类；比较三种 ANN，并在独立外部数据做 OOD 测试。,OOD 时 PPG+SpO₂ 相比 SpO₂-only 的 macro sensitivity、accuracy、F1、kappa、MCC 分别提高约 15.72%、9.22%、16.01%、11.08%、13.22%；低复杂度 convolutional-recurrent 最佳。,用 PPG morphology 补充 SpO₂，提高 sleep apnea 严重度在外部域的泛化。,先回归连续 apnea burden，再转成 AHI 并做四级 subject-level 分类；比较三种 ANN，并在独立外部数据做 OOD 测试。,OOD 时 PPG+SpO₂ 相比 SpO₂-only 的 macro sensitivity、accuracy、F1、kappa、MCC 分别提高约 15.72%、9.22%、16.01%、11.08%、13.22%；低复杂度 convolutional-recurrent 最佳。,PPG 波形为睡眠呼吸暂停提供了 SpO₂ 之外的信息，且外部域结果积极；它不是 BP estimator。,适合居家 sleep-apnea screening，不能归入无袖带 BP 精度证据。,推理需 PPG+SpO₂，不需 cuff BP；低复杂度模型适合 wearable/home monitoring。,有独立 OOD 数据和 subject-level 输出；摘要未给训练内部拆分细节，但 BP target leakage 不适用。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,true,输出与外部评估均为 subject-level。,true,独立 OOD sleep dataset,存在独立数据/队列测试；仍按论文具体任务解释。,not-a-bp-estimator,非 BP 测量任务,PPG | SpO2,false,推理需 PPG+SpO₂，不需 cuff BP；低复杂度模型适合 wearable/home monitoring。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,有受试者/队列隔离证据；重叠窗口细节仍以全文为准。,已报告 subject-disjoint、LOSO 或独立队列。,有独立 OOD 数据和 subject-level 输出；摘要未给训练内部拆分细节，但 BP target leakage 不适用。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-026-external-conditioning-of-data-collection-enhances-the-information-conten,External conditioning of data collection enhances the information content from wearable sensors,2026,2026-08-15,paper,npj Cardiovascular Health,10.1038/s44325-026-00144-3,https://doi.org/10.1038/s44325-026-00144-3,primary-metadata/abstract,PPG | wearable deployment,not_reported,IMU/context (possible),基于 Apple Heart and Movement Study 的 1-minute SDNN，比对被动 circadian perturbation 与主动 mindful breathing，并控制年龄、性别、BMI。,被动扰动未带来显著增益；mindful HRV 相比 non-mindful 的 AUROC 提高 0.026–0.180，调整协变量后 7 种疾病中 5 种仍显著。,检验主动引导的数据采集，是否比被动 smartwatch HRV 更能表征 cardiometabolic disease。,基于 Apple Heart and Movement Study 的 1-minute SDNN，比对被动 circadian perturbation 与主动 mindful breathing，并控制年龄、性别、BMI。,被动扰动未带来显著增益；mindful HRV 相比 non-mindful 的 AUROC 提高 0.026–0.180，调整协变量后 7 种疾病中 5 种仍显著。,短时标准化呼吸能提高 wearable HRV 的信息量；结果是疾病表型，不是 BP 测量。,采集协议本身会改变信号价值，提示不能只比较模型结构。,需 Apple Watch HRV/PPG 衍生指标、呼吸提示和可选人口学信息；无需当前 BP。,未使用 BP 目标；摘要未披露患者级拆分，疾病标签泄露风险仍需下游确认。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,Apple Watch HRV/PPG-derived features | mindful-breathing context,false,需 Apple Watch HRV/PPG 衍生指标、呼吸提示和可选人口学信息；无需当前 BP。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,未使用 BP 目标；摘要未披露患者级拆分，疾病标签泄露风险仍需下游确认。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-027-a-four-wavelength-photoplethysmography-dataset-for-non-invasive-hemoglob,A Four-Wavelength Photoplethysmography dataset for non-invasive hemoglobin assessment,2026,2026-08-15,dataset-paper,Scientific Data,10.1038/s41597-026-06945-6,https://doi.org/10.1038/s41597-026-06945-6,primary-metadata/abstract,PPG | dataset/benchmark,not_reported,PPG,"252 名成人采集 660/730/850/940 nm PPG，共 1,008 个 segment，并配套 Hb、fasting glucose、brachial SBP/DBP 标签。",论文主要贡献是数据资源与质量说明，没有报告已完成临床验证的 Hb/BP estimator。,发布可用于无创 Hb、血糖和 BP 研究的四波长 PPG 数据集。,"252 名成人采集 660/730/850/940 nm PPG，共 1,008 个 segment，并配套 Hb、fasting glucose、brachial SBP/DBP 标签。",论文主要贡献是数据资源与质量说明，没有报告已完成临床验证的 Hb/BP estimator。,多波长与多标签对模型研究有价值，但 segment 数量不能替代受试者级泛化。,"使用时必须按 252 名参与者划分，不能随机拆 1,008 段。",数据集本身不可部署；下游硬件至少需四波长 PPG，具体任务决定是否需校准。,构建阶段未见目标反归一化；若同一人的多段跨训练/测试会产生明显 subject leakage。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,数据集本身不可部署；下游硬件至少需四波长 PPG，具体任务决定是否需校准。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,构建阶段未见目标反归一化；若同一人的多段跨训练/测试会产生明显 subject leakage。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-028-towards-trustworthy-ai-driven-cuffless-blood-pressure-monitoring,Towards trustworthy AI-driven cuffless blood pressure monitoring,2026,2026-08-15,paper,npj Digital Medicine,10.1038/s41746-026-02898-7,https://doi.org/10.1038/s41746-026-02898-7,primary-metadata/abstract,PPG | cuffless BP | signal quality/trustworthiness | wearable deployment,not_reported,PPG | IMU/context (possible),系统综述建立 surrogate signal–modeling paradigm–calibration 的多轴 taxonomy，再按 ML best practices 审视 protocol realism、drift、diversity 与 fairness。,论文识别的核心缺口包括真实协议不足、校准漂移、人群多样性与公平性报告不全，并给出 model-card-style reporting framework。,系统整理 cuffless BP 的信号、模型与校准策略，并提出可信报告框架。,系统综述建立 surrogate signal–modeling paradigm–calibration 的多轴 taxonomy，再按 ML best practices 审视 protocol realism、drift、diversity 与 fairness。,论文识别的核心缺口包括真实协议不足、校准漂移、人群多样性与公平性报告不全，并给出 model-card-style reporting framework。,当前文献的高分不可直接横向比较；临床有效性必须连同用途、人群、校准和场景一起解释。,这是审计方法论文，不提供单个模型的 SBP/DBP 性能。,不属于可部署算法；可直接作为本数据库的报告字段与审核清单依据。,重点覆盖 calibration、split、protocol 与 fairness；综述本身无 ABP 推理泄露。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,不属于可部署算法；可直接作为本数据库的报告字段与审核清单依据。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,重点覆盖 calibration、split、protocol 与 fairness；综述本身无 ABP 推理泄露。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-029-from-ppg-to-blood-pressure-at-the-edge-quantization-aware-architecture-s,From PPG to Blood Pressure at the Edge: Quantization-Aware Architecture Selection and On-MCU Validation,2026,2026-08-16,paper,Sensors,10.3390/s26092674,https://doi.org/10.3390/s26092674,primary-metadata/abstract,PPG | cuffless BP | wearable deployment,not_reported,PPG,比较多种 1D-CNN 的浮点误差、模型体积与 quantization robustness，选择 compact residual 1D-CNN，部署到 STM32N6 的 integer-only 工具链。,部分轻量 CNN 在 INT8 后明显漂移，选中模型量化前后误差统计接近，并在 MCU 上满足实时约束；摘要未给可核对的 SBP/DBP MAE、延迟和内存数值。,找出 INT8 后仍保留 BP 精度的 PPG-only 网络，并在 MCU 上完成真实推理。,比较多种 1D-CNN 的浮点误差、模型体积与 quantization robustness，选择 compact residual 1D-CNN，部署到 STM32N6 的 integer-only 工具链。,部分轻量 CNN 在 INT8 后明显漂移，选中模型量化前后误差统计接近，并在 MCU 上满足实时约束；摘要未给可核对的 SBP/DBP MAE、延迟和内存数值。,浮点精度不能预测端侧表现，量化稳定性应成为 BP 模型选择维度。,工程部署证据较好，但没有完整临床/外部准确性数字，不能仅凭 on-device 运行宣称可用。,推理只需单通道 PPG，在 STM32N6 本地运行，不需 cloud 或当前 BP。,摘要未说明 subject split、ABP normalization 与质量筛选，BP 性能可信度仍属中等风险。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,research-only,研究验证阶段,single-channel PPG,false,推理只需单通道 PPG，在 STM32N6 本地运行，不需 cloud 或当前 BP。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,摘要未说明 subject split、ABP normalization 与质量筛选，BP 性能可信度仍属中等风险。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-030-blood-pressure-estimation-using-single-photoplethysmography-signal-based,Blood pressure estimation using single photoplethysmography signal based on ResNet-BiGRU,2026,2026-08-16,paper,Biomedical Engineering / Biomedizinische Technik,10.1515/bmt-2025-0285,https://doi.org/10.1515/bmt-2025-0285,primary-metadata/abstract,PPG | cuffless BP,not_reported,PPG,UCI/MIMIC-II 942 人数据经 0.5–8 Hz 滤波、5 秒切窗，80/20 训练验证；在 VitalDB 手术患者上做外部评估。,UCI 的 SBP/DBP MAE 为 4.78/2.98 mmHg；VitalDB 上升至 8.15/4.59 mmHg。,用单通道 PPG 的 ResNet-BiGRU 同时捕捉 morphology 与时序信息，并测试跨数据集泛化。,UCI/MIMIC-II 942 人数据经 0.5–8 Hz 滤波、5 秒切窗，80/20 训练验证；在 VitalDB 手术患者上做外部评估。,UCI 的 SBP/DBP MAE 为 4.78/2.98 mmHg；VitalDB 上升至 8.15/4.59 mmHg。,跨数据集后 SBP 明显变差，说明同域成绩高估 wearable 泛化；摘要没有说明 80/20 是否按受试者。,外部验证值得肯定，但内部随机 window 可能泄露，不能把 4.78/2.98 当跨人结果。,推理只需单 PPG，不需当前 BP；尚未做真实 wearable/device 验证。,外部 VitalDB 降低同库泄露影响；内部切窗划分单位不明，window/subject leakage 风险中高。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not reported,,not reported,可得摘要/正文信息未报告个人 cuff calibration。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,true,VitalDB,存在独立数据/队列测试；仍按论文具体任务解释。,research-only,研究验证阶段,PPG,false,推理只需单 PPG，不需当前 BP；尚未做真实 wearable/device 验证。,medium-to-high,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,可得来源未报告个人目标 BP 校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,外部 VitalDB 降低同库泄露影响；内部切窗划分单位不明，window/subject leakage 风险中高。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-031-utilizing-multi-ppg-sensor-site-information-in-a-localized-wrist-area-fo,Utilizing Multi-PPG-Sensor Site Information in a Localized Wrist Area for Improving Cuffless Blood Pressure Estimation,2026,2026-08-16,paper,IEEE Journal of Biomedical and Health Informatics,10.1109/jbhi.2025.3619070,https://doi.org/10.1109/jbhi.2025.3619070,primary-metadata/abstract,PPG | cuffless BP,not_reported,PPG,9-channel 单波长 PPG array；3M-BPNet 包含 signal trimming、Bayesian optimization 通道权重、RFR 与 personalized calibration。,121 人总体 9 通道 SBP/DBP MAE 4.84/3.28 mmHg；靠近桡动脉的最佳 5 通道 C5–C9 达 1.33/1.16，比单通道改善 72.6%/73.2%。,判断腕部不同 PPG sensor site 的信息能否融合，并找出最有效的局部通道组合。,9-channel 单波长 PPG array；3M-BPNet 包含 signal trimming、Bayesian optimization 通道权重、RFR 与 personalized calibration。,121 人总体 9 通道 SBP/DBP MAE 4.84/3.28 mmHg；靠近桡动脉的最佳 5 通道 C5–C9 达 1.33/1.16，比单通道改善 72.6%/73.2%。,传感位置与多通道融合影响很大，但极低误差依赖 personalized calibration 和通道选择。,硬件布局比盲目堆模型更关键；不能把 1.33/1.16 当免校准跨人性能。,需腕部 5 个局部 PPG site 和个人 BP 校准；当前时刻无需参考 BP。,历史 calibration 属目标依赖；摘要未说明受试者级划分及 Bayesian channel selection 是否仅用训练集，风险中高。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,personalized calibration,,onboarding,多通道 RFR 使用个人校准。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,conditional,有条件可部署,five-site wrist PPG | stored personal calibration,false,需腕部 5 个局部 PPG site 和个人 BP 校准；当前时刻无需参考 BP。,medium-to-high,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,多通道 RFR 使用个人校准。,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,历史 calibration 属目标依赖；摘要未说明受试者级划分及 Bayesian channel selection 是否仅用训练集，风险中高。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-032-rethinking-ppg-based-sleep-staging-datasets-metrics-and-benchmarks,"Rethinking PPG-based Sleep Staging: Datasets, Metrics, and Benchmarks",2026,2026-08-16,paper,arXiv,,https://arxiv.org/abs/2608.00943,primary-abstract,PPG | dataset/benchmark,not_reported,PPG,用 Hidden Semi-Markov Model 把粗粒度 epoch label 扩展到秒级，在独立 expert-reviewed 数据和独立 sleep-wake 任务验证，再于 MESA 训练四种架构。,秒级监督使四种 baseline 对原 30 秒标签的 accuracy 提高 3.7–5.7 个百分点；在 CFS zero-shot 下仍保持迁移收益。,解决 30 秒 sleep-stage 标签与 PPG 在边界处快速变化之间的时间分辨率错配。,用 Hidden Semi-Markov Model 把粗粒度 epoch label 扩展到秒级，在独立 expert-reviewed 数据和独立 sleep-wake 任务验证，再于 MESA 训练四种架构。,秒级监督使四种 baseline 对原 30 秒标签的 accuracy 提高 3.7–5.7 个百分点；在 CFS zero-shot 下仍保持迁移收益。,更细标签能释放 PPG 边界信息；这是 sleep staging benchmark，不是 BP 研究。,时间标签设计和独立验证很有启发，尤其适合审计窗口任务。,推理需 PPG；秒级 pipeline 可供 wearable sleep staging，未涉及 BP 校准。,使用独立验证集和 CFS zero-shot 降低过拟合；需确保 MESA 同一夜/同一人不跨集合。,已完成重点审核,verified,2026,arXiv 题名与首次提交日期核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,true,CFS zero-shot,存在独立数据/队列测试；仍按论文具体任务解释。,not-a-bp-estimator,非 BP 测量任务,PPG,false,推理需 PPG；秒级 pipeline 可供 wearable sleep staging，未涉及 BP 校准。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,使用独立验证集和 CFS zero-shot 降低过拟合；需确保 MESA 同一夜/同一人不跨集合。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-033-roadmap-of-remote-photoplethysmography-from-heart-rate-measurement-towar,Roadmap of remote photoplethysmography from heart rate measurement toward clinical translation,2026,2026-08-16,review,npj Digital Medicine,10.1038/s41746-026-02715-1,https://doi.org/10.1038/s41746-026-02715-1,primary-metadata/abstract,PPG | review,not_reported,PPG,系统综述+技术综合，覆盖数据集、设备因素、数据稀缺、ROI、算法、滤波与指标，并附 routine clinical setting 的 feasibility demonstration。,临床示范在 correlation/concordance、absolute error 与 Bland–Altman 多指标上显示较高 signal-level agreement；摘要未给完整数值。,总结 rPPG 从非接触 HR 到临床 waveform measurement 的技术路线与转化障碍。,系统综述+技术综合，覆盖数据集、设备因素、数据稀缺、ROI、算法、滤波与指标，并附 routine clinical setting 的 feasibility demonstration。,临床示范在 correlation/concordance、absolute error 与 Bland–Altman 多指标上显示较高 signal-level agreement；摘要未给完整数值。,rPPG 有潜力，但 motion、illumination、compression 和 frame rate 仍是临床转化关键限制。,是路线图与可行性证据，不应作为 cuffless BP 临床验证。,推理需普通 camera video；不需 BP 校准，实际鲁棒性依赖采集环境。,综述本身无 BP 目标泄露；示范队列的独立性和样本量需正文核对。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,not applicable,,not reported,该研究不是连续 BP estimator。,not_reported,可得来源未明确证明 subject-disjoint；已按未知项保留，不视为通过。,false,,未确认独立外部队列验证。,not-a-bp-estimator,非 BP 测量任务,PPG,false,推理需普通 camera video；不需 BP 校准，实际鲁棒性依赖采集环境。,medium,not applicable,not applicable,not applicable,not applicable,not applicable,划分单位未充分报告，随机或重叠窗口泄露不能排除。,未充分报告 subject-disjoint，按未知风险保留。,综述本身无 BP 目标泄露；示范队列的独立性和样本量需正文核对。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
ppgbp-034-peak-independent-cuffless-blood-pressure-monitoring-using-a-smart-sock-t,Peak-Independent Cuffless Blood Pressure Monitoring Using a Smart Sock: The Role of Temporal Lag Modeling in Foot-Based PPG,2026,2026-08-17,paper,Sensors,10.3390/s26041269,https://doi.org/10.3390/s26041269,primary-metadata/abstract,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),60 人、重叠 30 秒窗口；从 PPG/VPPG/APPG 提取统计与信息论特征，并用 5–15 秒 temporal lag 表示短期血流动力学记忆。,subject-independent 场景 SBP/DBP 误差 8.60/6.42 mmHg；single-point calibration 后 MAE 1.3–1.7 mmHg、R²>0.90。,不用 fiducial peak 或 PTT，从足部 PPG 做 smart-sock BP 估计。,60 人、重叠 30 秒窗口；从 PPG/VPPG/APPG 提取统计与信息论特征，并用 5–15 秒 temporal lag 表示短期血流动力学记忆。,subject-independent 场景 SBP/DBP 误差 8.60/6.42 mmHg；single-point calibration 后 MAE 1.3–1.7 mmHg、R²>0.90。,足部 PPG 可做个体监测，但高精度来自单点校准；跨人性能仍明显不足。,应展示 8.60/6.42 作为通用性能，1.3–1.7 只能归于校准监测场景。,需 smart sock 足部 PPG 与一次个人 BP 校准；之后不需当前 BP。,作者称使用 leakage-safe CV；重叠窗口仍需确认按人/按时间分组，target calibration 风险中等。,已完成重点审核,verified,2026,Crossref 精确题名/年份与可得 primary abstract/full text 核验,当前年份按本记录所对应的正式文章或预印本版本填写。,single-point calibration,,onboarding,校准后性能与 subject-independent 性能必须分开报告。,true,论文报告 leakage-safe cross-validation 与 subject-independent 场景。,false,,未确认独立外部队列验证。,conditional,有条件可部署,foot PPG | stored single-point calibration,false,需 smart sock 足部 PPG 与一次个人 BP 校准；之后不需当前 BP。,medium,未发现逐窗当前 BP/ABP 反归一化；若来源未公开细节则仍保留未确认。,参考 BP/ABP 用于同步监督或设备对照；未见推理期按当前目标对齐。,BP/ABP 用于生成监督窗口；窗口与受试者隔离按论文披露程度审计。,未见明确用当前 BP 选择 PPG 质量；未披露者不按已排除处理。,校准后性能与 subject-independent 性能必须分开报告。,有受试者/队列隔离证据；重叠窗口细节仍以全文为准。,已报告 subject-disjoint、LOSO 或独立队列。,作者称使用 leakage-safe CV；重叠窗口仍需确认按人/按时间分组，target calibration 风险中等。,priority-reviewed,2026-08-24,已依据可得 primary abstract/full text 完成重点审核；未公开项目明确标为未报告，不以推断代替证据。
