id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,study_goal_zh,method_summary_zh,result_summary_zh,conclusion_summary_zh,takeaway_zh,deployment_summary_zh,leakage_summary_zh,content_status_zh,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-029-from-ppg-to-blood-pressure-at-the-edge-quantization-aware-architecture-s,From PPG to Blood Pressure at the Edge: Quantization-Aware Architecture Selection and On-MCU Validation,2026,2026-08-16,paper,Sensors,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-030-blood-pressure-estimation-using-single-photoplethysmography-signal-based,Blood pressure estimation using single photoplethysmography signal based on ResNet-BiGRU,2026,2026-08-16,paper,Biomedical Engineering / Biomedizinische Technik,,,daily-index-only,PPG | cuffless BP,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-031-utilizing-multi-ppg-sensor-site-information-in-a-localized-wrist-area-fo,Utilizing Multi-PPG-Sensor Site Information in a Localized Wrist Area for Improving Cuffless Blood Pressure Estimation,2026,2026-08-16,paper,IEEE Journal of Biomedical and Health Informatics,,,daily-index-only,PPG | cuffless BP,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-032-rethinking-ppg-based-sleep-staging-datasets-metrics-and-benchmarks,"Rethinking PPG-based Sleep Staging: Datasets, Metrics, and Benchmarks",2026,2026-08-16,paper,arXiv,,,daily-index-only,PPG | dataset/benchmark,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、dataset/benchmark。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-033-roadmap-of-remote-photoplethysmography-from-heart-rate-measurement-towar,Roadmap of remote photoplethysmography from heart rate measurement toward clinical translation,2026,2026-08-16,review,npj Digital Medicine,,,daily-index-only,PPG | review,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、review。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-034-peak-independent-cuffless-blood-pressure-monitoring-using-a-smart-sock-t,Peak-Independent Cuffless Blood Pressure Monitoring Using a Smart Sock: The Role of Temporal Lag Modeling in Foot-Based PPG,2026,2026-08-17,paper,Sensors,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-035-a-comparative-study-of-signal-representations-methods-and-deep-learning-,A Comparative Study of Signal Representations Methods and Deep Learning Architectures for PPG-Based Cuffless Blood Pressure Estimation,2026,2026-08-17,paper,Sensors,,,daily-index-only,PPG | cuffless BP | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、foundation model。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-036-multitaskbp-reliable-ppg-based-blood-pressure-measurement-under-motion-a,MultitaskBP: Reliable PPG-Based Blood Pressure Measurement Under Motion Artifact Corruption,2026,2026-08-17,paper,IEEE Transactions on Instrumentation and Measurement,,,daily-index-only,PPG | cuffless BP | signal quality/trustworthiness,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、signal quality/trustworthiness。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-037-innovative-wearable-platform-for-synchronized-biosignals-acquisition-a-p,Innovative Wearable Platform for Synchronized Biosignals Acquisition: A Proof of Concept in a Cuff-Less Blood Pressure Monitoring Case Study,2026,2026-08-17,paper,Publication not fully verified,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-038-cfd-guided-detection-of-concept-drift-in-multimodal-physiologic-signals,CFD-Guided Detection of Concept Drift in Multimodal Physiologic Signals,2026,2026-08-17,paper,arXiv,,,daily-index-only,PPG,not_reported,not_reported,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,not_reported,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-039-cap-towards-ppg-universal-representation-learning-with-patient-level-sup,CAP: Towards PPG Universal Representation Learning with Patient-level Supervision,2026,2026-08-18,paper,KDD 2026,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、foundation model。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-040-photoplethysmography-acceleration-indices-as-digital-biomarkers-of-cardi,Photoplethysmography Acceleration Indices as Digital Biomarkers of Cardiometabolic Health,2026,2026-08-18,paper,Frontiers in Digital Health,,,daily-index-only,PPG,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-041-motion-aware-low-power-wearable-photoplethysmography-system-with-metamat,Motion-Aware Low-Power Wearable Photoplethysmography System with Metamaterial-Enhanced Wireless Telemetry,2026,2026-08-18,paper,IEEE Transactions on Biomedical Circuits and Systems,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-042-circuit-free-cardiovascular-monitoring-via-smartphone-readable-skin-inte,Circuit-Free Cardiovascular Monitoring via Smartphone-Readable Skin-Interfaced Nanophotonic Films,2026,2026-08-18,paper,Advanced Materials,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-043-long-term-accuracy-and-stability-of-blood-pressure-measurements-from-a-s,Long-term accuracy and stability of blood pressure measurements from a smartwatch: Prospective validation study,2026,2026-08-18,paper,Digital Health,10.1177/20552076261415923,https://doi.org/10.1177/20552076261415923,primary-full-text/abstract,PPG | smartwatch | cuffless BP | 28-day calibration stability,37-participant 28-day prospective cohort,Samsung Galaxy Watch 5 PPG pipeline | stored Day-0 cuff calibration,Day-0 calibration followed by 27 days of paired Galaxy Watch 5 and Omron M4 measurements.,Overall MD about −0.34 mmHg SBP and +0.62 mmHg DBP; estimated 28-day drift −0.19/+1.02 mmHg. Error increased when actual BP moved about 10 mmHg away from the initial calibration point.,观察 Galaxy Watch 经过一次初始校准后，连续 27 天的 BP 准确性和漂移情况。,第 0 天校准手表，此后 27 天与 Omron M4 做成对比较；日常 Omron 读数只作为参考，不更新手表。,总体 SBP/DBP MD 约 −0.34/+0.62 mmHg，估计 28 天漂移 −0.19/+1.02 mmHg；真实 BP 距初始校准点约 10 mmHg 时，误差明显增大。,平均漂移不大，但模型更擅长在校准点附近工作；BP 状态发生较大变化时可靠性下降。,“30 天稳定”不能只看平均偏差，还要看离开个人校准点后的误差。,只需第 0 天校准，之后手表独立输出；每日 Omron 仅用于研究验证。,未见验证期参考 BP 回写手表；主要问题不是泄露，而是校准点依赖和 BP 变化后的性能下降。,已完成重点深审,single onboarding cuff calibration per manufacturer workflow,,Day 0; recommended 28-day interval,Prospective longitudinal evaluation of calibration stability.,not applicable,"Device validation cohort, not a retrained ML split.",true,37-participant prospective 28-day study,"Small, mostly young/normotensive cohort limits generalizability.",strong-conditional,真实 28 天可用证据，但人群有限,smartwatch PPG | stored Day-0 calibration,false,Daily Omron values were reference only and did not update watch outputs.,low,NO evidence,paired timing for validation only,device workflow,not reported as target-dependent,historical Day-0 cuff only,not applicable,not applicable,"Validates stability, not universal accuracy across hypertensive BP ranges.",priority-reviewed,2026-08-24,重点深审。
ppgbp-044-validation-of-ring-type-cuffless-blood-pressure-monitoring-device-for-de,Validation of ring-type cuffless blood pressure monitoring device for detecting awake-asleep BP variations compared to ambulatory BP monitoring device,2026,2026-08-19,paper,Hypertension Research,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-045-cardiostate-jepa-delay-aware-cross-modal-learning-of-a-shared-cardiac-re,CardioState-JEPA: Delay-Aware Cross-Modal Learning of a Shared Cardiac Representation,2026,2026-08-19,paper,arXiv,,https://arxiv.org/abs/2608.12944,primary-abstract,PPG | ECG | PCG | foundation model | JEPA | delay alignment,multiple unimodal and paired cardiac datasets,PPG or ECG or PCG,"Two-stage joint-embedding predictive architecture with modality tokenizers, shared Transformer, masked latent prediction, and learned cross-modal delay alignment.","Frozen encoder reports +8.2 AUROC points for PPG classification, +18.8 for PCG murmur detection and +15.5 for ECG classification over the best SSL baseline.",让 PPG、ECG、PCG 在存在生理时间延迟时仍能学习共享的 cardiac representation。,两阶段 JEPA：各模态 tokenizer、共享 Transformer、masked latent prediction，加上可学习的跨模态 delay alignment。,冻结 encoder 后，相比最佳 SSL baseline，PPG 分类、PCG murmur 检测和 ECG 分类分别提高 8.2、18.8、15.5 个 AUROC 点。,延迟感知的跨模态预训练能提升通用心血管表征，但论文并未直接验证无袖带 BP head。,可作为下游模型底座，不能把多任务 AUROC 提升等同于 BP 精度提升。,跨模态 delay aligner 在预训练阶段学习；具体下游可仅保留目标模态，但 BP 任务需另做验证。,共享表征本身不是 BP 泄露；风险取决于下游 BP 标签、时间对齐和受试者划分。,已完成重点深审,not applicable,0,not applicable,No cuffless BP calibration study.,task-specific,Downstream protocols vary.,true,25 downstream tasks,Not a BP-regression validation.,research-enabler,可作为 PPG encoder,"one available cardiac modality, e.g. PPG",false,Delay aligner is learned during pretraining; BP head still needs separate validation.,low for BP target leakage,not applicable,"cross-modal delay alignment uses paired sensors, not BP target",not applicable,not applicable,not applicable,task-specific,task-specific,No absolute BP claim should be inferred.,priority-reviewed,2026-08-24,重点深审。
ppgbp-046-in-hospital-stroke-prediction-from-ppg-derived-hemodynamic-features,In-Hospital Stroke Prediction from PPG-Derived Hemodynamic Features,2026,2026-08-19,paper,KDD 2026,,,daily-index-only,PPG,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-047-a-dual-output-physiology-informed-neural-network-architecture-for-contin,A Dual-Output Physiology-Informed Neural Network Architecture for Continuous Cuffless Blood Pressure Waveform Estimation: A Proof-of-Concept,2026,2026-08-19,paper,Artery Research,,,daily-index-only,PPG | cuffless BP,not_reported,not_reported,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、无袖带 BP。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,not_reported,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-048-automated-cardiac-arrest-detection-using-wrist-derived-photoplethysmogra,Automated cardiac arrest detection using wrist-derived photoplethysmography during withdrawal of life-sustaining treatment: a prospective clinical validation study,2026,2026-08-19,paper,The Lancet Regional Health – Europe,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,这篇记录关注PPG、可穿戴部署。当前数据库只完成题录和研究方向收录。,尚未完成全文方法核验，暂不展示模型结构、预处理或训练流程，避免把标题推断当成论文事实。,尚未核对样本量、误差指标、对照组和统计结果，因此不提供定量性能结论。,现阶段只能确认研究方向，不能据此判断模型优劣、临床准确性或真实可部署性。,可作为后续阅读线索；在完成全文核验前，不应作为工程选型或临床证据。,推理输入来自题录初步标注，校准要求和真实部署条件仍待全文确认。,反归一化、对齐、切窗、质量筛选、校准以及 window/subject leakage 均待全文级审计。,待全文核验,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
