id,title,year,first_reported_in_daily,record_type,source_venue,doi,url,source_verification,topics,datasets,input_signals,model_method,main_results,calibration_type,calibration_points,calibration_timing,calibration_notes,subject_split,subject_split_notes,external_validation,external_dataset_or_cohort,external_validation_notes,deployability,deployment_judgment,inference_inputs,current_reference_bp_required,deployment_notes,leakage_risk,abp_bp_denormalization,abp_bp_alignment,abp_bp_windowing,abp_bp_quality_filtering,target_dependent_calibration,window_leakage,subject_leakage,leakage_notes,audit_status,evidence_checked_on,notes
ppgbp-031-utilizing-multi-ppg-sensor-site-information-in-a-localized-wrist-area-fo,Utilizing Multi-PPG-Sensor Site Information in a Localized Wrist Area for Improving Cuffless Blood Pressure Estimation,2026,2026-08-16,paper,IEEE Journal of Biomedical and Health Informatics,,,daily-index-only,PPG | cuffless BP,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-032-rethinking-ppg-based-sleep-staging-datasets-metrics-and-benchmarks,"Rethinking PPG-based Sleep Staging: Datasets, Metrics, and Benchmarks",2026,2026-08-16,paper,arXiv,,,daily-index-only,PPG | dataset/benchmark,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-033-roadmap-of-remote-photoplethysmography-from-heart-rate-measurement-towar,Roadmap of remote photoplethysmography from heart rate measurement toward clinical translation,2026,2026-08-16,review,npj Digital Medicine,,,daily-index-only,PPG | review,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-034-peak-independent-cuffless-blood-pressure-monitoring-using-a-smart-sock-t,Peak-Independent Cuffless Blood Pressure Monitoring Using a Smart Sock: The Role of Temporal Lag Modeling in Foot-Based PPG,2026,2026-08-17,paper,Sensors,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-035-a-comparative-study-of-signal-representations-methods-and-deep-learning-,A Comparative Study of Signal Representations Methods and Deep Learning Architectures for PPG-Based Cuffless Blood Pressure Estimation,2026,2026-08-17,paper,Sensors,,,daily-index-only,PPG | cuffless BP | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-036-multitaskbp-reliable-ppg-based-blood-pressure-measurement-under-motion-a,MultitaskBP: Reliable PPG-Based Blood Pressure Measurement Under Motion Artifact Corruption,2026,2026-08-17,paper,IEEE Transactions on Instrumentation and Measurement,,,daily-index-only,PPG | cuffless BP | signal quality/trustworthiness,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-037-innovative-wearable-platform-for-synchronized-biosignals-acquisition-a-p,Innovative Wearable Platform for Synchronized Biosignals Acquisition: A Proof of Concept in a Cuff-Less Blood Pressure Monitoring Case Study,2026,2026-08-17,paper,Publication not fully verified,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-038-cfd-guided-detection-of-concept-drift-in-multimodal-physiologic-signals,CFD-Guided Detection of Concept Drift in Multimodal Physiologic Signals,2026,2026-08-17,paper,arXiv,,,daily-index-only,PPG,not_reported,not_reported,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,not_reported,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-039-cap-towards-ppg-universal-representation-learning-with-patient-level-sup,CAP: Towards PPG Universal Representation Learning with Patient-level Supervision,2026,2026-08-18,paper,KDD 2026,,,daily-index-only,PPG | foundation model,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-040-photoplethysmography-acceleration-indices-as-digital-biomarkers-of-cardi,Photoplethysmography Acceleration Indices as Digital Biomarkers of Cardiometabolic Health,2026,2026-08-18,paper,Frontiers in Digital Health,,,daily-index-only,PPG,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-041-motion-aware-low-power-wearable-photoplethysmography-system-with-metamat,Motion-Aware Low-Power Wearable Photoplethysmography System with Metamaterial-Enhanced Wireless Telemetry,2026,2026-08-18,paper,IEEE Transactions on Biomedical Circuits and Systems,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-042-circuit-free-cardiovascular-monitoring-via-smartphone-readable-skin-inte,Circuit-Free Cardiovascular Monitoring via Smartphone-Readable Skin-Interfaced Nanophotonic Films,2026,2026-08-18,paper,Advanced Materials,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-043-long-term-accuracy-and-stability-of-blood-pressure-measurements-from-a-s,Long-term accuracy and stability of blood pressure measurements from a smartwatch: Prospective validation study,2026,2026-08-18,paper,Digital Health,10.1177/20552076261415923,https://doi.org/10.1177/20552076261415923,primary-full-text/abstract,PPG | smartwatch | cuffless BP | 28-day calibration stability,37-participant 28-day prospective cohort,Samsung Galaxy Watch 5 PPG pipeline | stored Day-0 cuff calibration,Day-0 calibration followed by 27 days of paired Galaxy Watch 5 and Omron M4 measurements.,Overall MD about −0.34 mmHg SBP and +0.62 mmHg DBP; estimated 28-day drift −0.19/+1.02 mmHg. Error increased when actual BP moved about 10 mmHg away from the initial calibration point.,single onboarding cuff calibration per manufacturer workflow,,Day 0; recommended 28-day interval,Prospective longitudinal evaluation of calibration stability.,not applicable,"Device validation cohort, not a retrained ML split.",true,37-participant prospective 28-day study,"Small, mostly young/normotensive cohort limits generalizability.",strong-conditional,真实 28 天可用证据，但人群有限,smartwatch PPG | stored Day-0 calibration,false,Daily Omron values were reference only and did not update watch outputs.,low,NO evidence,paired timing for validation only,device workflow,not reported as target-dependent,historical Day-0 cuff only,not applicable,not applicable,"Validates stability, not universal accuracy across hypertensive BP ranges.",priority-reviewed,2026-08-24,重点深审。
ppgbp-044-validation-of-ring-type-cuffless-blood-pressure-monitoring-device-for-de,Validation of ring-type cuffless blood pressure monitoring device for detecting awake-asleep BP variations compared to ambulatory BP monitoring device,2026,2026-08-19,paper,Hypertension Research,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-045-cardiostate-jepa-delay-aware-cross-modal-learning-of-a-shared-cardiac-re,CardioState-JEPA: Delay-Aware Cross-Modal Learning of a Shared Cardiac Representation,2026,2026-08-19,paper,arXiv,,https://arxiv.org/abs/2608.12944,primary-abstract,PPG | ECG | PCG | foundation model | JEPA | delay alignment,multiple unimodal and paired cardiac datasets,PPG or ECG or PCG,"Two-stage joint-embedding predictive architecture with modality tokenizers, shared Transformer, masked latent prediction, and learned cross-modal delay alignment.","Frozen encoder reports +8.2 AUROC points for PPG classification, +18.8 for PCG murmur detection and +15.5 for ECG classification over the best SSL baseline.",not applicable,0,not applicable,No cuffless BP calibration study.,task-specific,Downstream protocols vary.,true,25 downstream tasks,Not a BP-regression validation.,research-enabler,可作为 PPG encoder,"one available cardiac modality, e.g. PPG",false,Delay aligner is learned during pretraining; BP head still needs separate validation.,low for BP target leakage,not applicable,"cross-modal delay alignment uses paired sensors, not BP target",not applicable,not applicable,not applicable,task-specific,task-specific,No absolute BP claim should be inferred.,priority-reviewed,2026-08-24,重点深审。
ppgbp-046-in-hospital-stroke-prediction-from-ppg-derived-hemodynamic-features,In-Hospital Stroke Prediction from PPG-Derived Hemodynamic Features,2026,2026-08-19,paper,KDD 2026,,,daily-index-only,PPG,not_reported,PPG,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-047-a-dual-output-physiology-informed-neural-network-architecture-for-contin,A Dual-Output Physiology-Informed Neural Network Architecture for Continuous Cuffless Blood Pressure Waveform Estimation: A Proof-of-Concept,2026,2026-08-19,paper,Artery Research,,,daily-index-only,PPG | cuffless BP,not_reported,not_reported,首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,not_reported,unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-048-automated-cardiac-arrest-detection-using-wrist-derived-photoplethysmogra,Automated cardiac arrest detection using wrist-derived photoplethysmography during withdrawal of life-sustaining treatment: a prospective clinical validation study,2026,2026-08-19,paper,The Lancet Regional Health – Europe,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-049-the-role-of-dataset-integrity-calibration-and-signal-quality-in-neural-n,"The role of dataset integrity, calibration and signal quality in neural network-based blood pressure estimation",2026,2026-08-20,paper,Scientific Reports,10.1038/s41598-026-66882-7,https://doi.org/10.1038/s41598-026-66882-7,primary-metadata/abstract,PPG | cuffless BP | dataset integrity | calibration | signal synchronization | data leakage,curated MIMIC-III | curated VitalDB,PPG | ECG-derived features for one baseline,"MLP, ResNet and TCN are compared on datasets differing in synchronization; subject-wise splits and 3–9 initial reference measurements test calibration effects.",VitalDB consistently outperformed MIMIC-III; calibration gains diminished beyond three measurements; calibrated DBP reached numerical clinical limits while SBP remained difficult.,initial subject-specific reference BP,3–9 tested,initial,Diminishing return beyond three initial measurements.,true,Abstract explicitly reports subject-wise splits to prevent leakage.,false,,Cross-dataset comparison is not the same as training on one and untouched external testing on another.,conditional,有条件可部署,PPG | possibly ECG/PAT features depending model | stored calibration,false,Requires initial cuff/reference measurements; emphasizes synchronized data and SQA.,low-to-medium,not reported as current-window dependent,"dataset-level synchronization is studied, not oracle per-window alignment",unknown,signal-quality curation used; exact target dependence needs methods audit,historical first 3–9 references only,reduced by subject-wise split,NO according to abstract,A methodological audit paper; still requires checking how curated test windows were selected.,priority-reviewed,2026-08-24,重点深审。
ppgbp-050-wearable-cuffless-and-portable-devices-for-blood-pressure-monitoring-201,"Wearable, cuffless, and portable devices for blood pressure monitoring (2015–2025): a scoping review of technologies, calibration, clinical validation, and regulatory frameworks",2026,2026-08-20,review,Frontiers in Digital Health,,,daily-index-only,PPG | cuffless BP | calibration/personalization | wearable deployment | review,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-051-change-point-aware-evaluation-and-re-calibration-of-ppg-based-blood-pres,Change Point–Aware Evaluation and Re-Calibration of PPG-Based Blood Pressure Estimation,2026,2026-08-21,paper,MLHC 2026 / arXiv,,https://arxiv.org/abs/2608.18639,primary-abstract,PPG | cuffless BP | change point | recalibration | evaluation,not_reported,PPG | BP trajectory for change-point evaluation,"Detects distributional change points in BP trajectories, evaluates models around fluctuations, and triggers targeted recalibration.","Shows substantial model degradation near BP change points; periodic calibration is insufficient, while change-point-triggered recalibration improves robustness (exact values pending table extraction).",change-point-triggered,,test-time/event-triggered,Deployment validity depends on whether trigger detection uses predicted BP/PPG only or true reference BP.,unknown,Full evaluation protocol requires audit.,false,,No independent clinical external validation confirmed.,conceptual/conditional,触发机制需改造成无参考 BP,PPG | change trigger available at deployment,potentially,"If true BP change points trigger recalibration, the reported protocol is not autonomous.",high,unknown,unknown,YES for evaluation periods around true BP change points,unknown,potentially YES — trigger is defined from BP trajectories,unknown,unknown,Valuable evaluation framework; its deployment claim must separate oracle change points from detectable real-world triggers.,priority-reviewed,2026-08-24,重点深审。
ppgbp-052-clinical-validation-of-photoplethysmography-based-finger-cuffless-blood-,Clinical Validation of Photoplethysmography-Based Finger Cuffless Blood Pressure Monitoring Following European Society of Hypertension Recommendations,2026,2026-08-21,paper,Journal of the American Heart Association,,,daily-index-only,PPG | cuffless BP | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-053-when-is-rppg-physiologically-valid-for-stress-and-workload-monitoring-a-,When is rPPG physiologically valid for stress and workload monitoring? A PRISMA-ScR scoping review,2026,2026-08-21,review,Frontiers in Digital Health,,,daily-index-only,PPG | wearable deployment | review,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-054-fuzzy-accuracy-compensates-for-label-subjectivity-in-classification-of-s,Fuzzy Accuracy Compensates for Label Subjectivity in Classification of Skin Tone Using Wearable Photoplethysmography Signals,2026,2026-08-21,paper,FUZZ-IEEE 2026 / arXiv,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-055-optimizing-health-prediction-using-wearable-sensor-data-machine-learning,Optimizing health prediction using wearable sensor data: Machine learning for anomaly detection in PPG and HRV signals,2026,2026-08-21,paper,Procedia Computer Science,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-056-domain-independent-ppg-signal-quality-assessment-framework-via-represent,Domain-independent PPG signal quality assessment framework via representation learning,2026,2026-08-22,paper,Scientific Reports,10.1038/s41598-026-58783-6,https://www.nature.com/articles/s41598-026-58783-6,primary-full-text,PPG | signal quality | representation learning | domain generalization,CSL finger PPG | WCS wrist PPG | AA neck PPG,PPG,Fine-tunes a pretrained PPG Transformer with triplet loss; quality is embedding distance to high-quality reference embeddings.,"Approximate F1: 90% finger, 95% wrist with generalized references, 70% neck.",reference-embedding set,,device/domain setup,No BP calibration; reference embeddings define signal-quality score.,reported evaluation across datasets,Exact subject partition details need table-level audit.,true,wrist and neck datasets,Cross-location generalization is central.,deployable-front-end,适合作为 BP 模型前置 SQA,PPG | stored high-quality reference embeddings,false,Real-time compatible; no BP target needed.,low for BP target leakage,not applicable,not applicable,not BP-target based,"PPG morphology/expert quality labels, not BP values",not applicable,dataset-specific,dataset-specific,"If used in BP studies, freeze SQA before test evaluation and avoid tuning thresholds on test BP error.",priority-reviewed,2026-08-24,重点深审。
ppgbp-057-large-scale-bilateral-cardiovascular-monitoring-via-wearable-rings,Large-scale bilateral cardiovascular monitoring via wearable rings,2026,2026-08-22,paper,npj Digital Medicine,10.1038/s41746-026-03036-z,https://pubmed.ncbi.nlm.nih.gov/42477400/,primary-abstract,PPG | ring | bilateral | cuffless BP | benchmark,MAIBO-derived bilateral benchmark,left ring PPG | right ring PPG,Twelve backbones benchmark bilateral and averaged ring-PPG prediction across cardiovascular/demographic targets.,"97,559 valid samples from 1,810 participants; bilateral SBP/DBP MAE 12.36/8.21 mmHg, only modestly better than cohort-mean baselines 13.81/9.27.",none reported,0,none,Population benchmark.,needs full-method verification,Do not assume session-level split is safe.,false,,Single benchmark cohort.,limited-for-BP,HR 价值较强，绝对 BP 价值有限,bilateral ring PPG,false,Two-ring requirement is itself a deployment cost.,medium,not reported,session-synchronized reference BP,unknown,valid-sample selection requires audit,not reported,unknown,unknown pending split verification,Transparent weak BP result is more credible than near-zero MAE under unsafe splits.,priority-reviewed,2026-08-24,重点深审。
ppgbp-058-photoplethysmography-for-heart-rate-and-rhythm-monitoring-current-eviden,Photoplethysmography for Heart Rate and Rhythm Monitoring: Current Evidence and Clinical Applications,2026,2026-08-22,review,Review publication not fully verified,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
ppgbp-059-evaluation-of-alysis-001-cuffless-blood-pressure-estimation-algorithm-ag,Evaluation of Alysis-001 cuffless blood pressure estimation algorithm against the European Society of Hypertension awake/asleep test criteria in hypertensive patients,2026,2026-08-23,paper,Hypertension Research,10.1038/s41440-026-02728-z,https://www.nature.com/articles/s41440-026-02728-z,primary-full-text,cuffless BP | wearable | clinical validation | ESH awake/asleep | calibration-free,independent development cohorts: 953 seated-rest + 150 treadmill | prospective 24 h hypertensive cohort,green/red/IR PPG | electro-potential pulse signal | accelerometer | gyroscope | skin temperature | age | height | weight,"Biomechanical Moens–Korteweg-based multiparametric algorithm estimates velocity, volume and arterial elasticity; motion/posture correction and signal-quality rejection are applied.","92 enrolled, 78 analyzed; passed all ESH awake/asleep criteria under both extraction strategies; ICC >0.70, non-dipper sensitivity 0.93, specificity 0.75, accuracy 0.82.",demographic calibration only,0,none,"Uses age, height and weight; no initial or periodic cuff calibration.",true,Evaluation cohort has no overlap with independent development datasets.,true,prospective 24 h hypertensive outpatients,"Reference ABPM every 30 min; ESH awake/asleep primary test, not the entire cuffless-device validation suite.",strong-conditional,真实可穿戴证据较强,multispectral PPG | electro-potential | IMU | temperature | demographics,false,Automatically rejects high-intensity activity; does not require cuff calibration.,low,NO evidence,"30-min aggregation used for comparison, not to generate individual estimates",wearable uses fixed 10 s cycles; reference ABPM does not select beats,"internal sensor SQA/IMU rejection, not reference-BP filtering",NO — demographics only,not applicable to independent prospective cohort,NO cohort overlap reported,"Reference ABPM is used for validation, not fed into Alysis estimates.",priority-reviewed,2026-08-24,重点深审；通过 awake/asleep primary test does not equal completing every ESH test.
ppgbp-060-a-multi-posture-asymmetry-aware-intelligent-bilateral-observation-datase,A Multi-posture Asymmetry-aware Intelligent Bilateral Observation Dataset for Cardiovascular Monitoring,2026,2026-08-24,dataset-paper,Scientific Data,10.1038/s41597-026-07915-8,https://www.nature.com/articles/s41597-026-07915-8,primary-full-text,PPG | dataset | ring | bilateral | posture | cuffless BP,MAIBO,left ring PPG | right ring PPG | posture | age | sex | BMI,Dataset descriptor: synchronized bilateral ring PPG across three standardized postures with SBP/DBP/HR and demographic labels.,"1,810 participants and 7,478 sessions; designed for bilateral and posture-dependent cardiovascular benchmarking.",not applicable to dataset,0,not applicable,Reference BP labels are provided; downstream users must define calibration protocol.,not imposed,Dataset users must split by participant ID; random session/window split is unsafe.,false,,"Dataset resource, not an externally validated estimator.",research-enabler,贴近 ring wearable,ring PPG | optional posture/IMU,false,Suitable for left→right and posture-shift tests.,low at dataset construction / high if mis-split,not inherent,reference labels synchronized at session level,downstream-defined,dataset QC present; no current-BP inverse scaling found,downstream-defined,must avoid random sessions/windows,must enforce subject-disjoint partitions,Dataset does not guarantee safe downstream splitting by itself.,priority-reviewed,2026-08-24,重点深审。
ppgbp-061-healthring-physiology-dataset-for-health-sensing-on-rings,HealthRing: Physiology Dataset for Health Sensing on Rings,2026,2026-08-24,dataset-paper,Scientific Data,10.1038/s41597-026-07289-x,https://www.nature.com/articles/s41597-026-07289-x,primary-full-text,PPG | dataset | ring | motion artifact | wearable | cuffless BP,HealthRing,reflective red/IR PPG | transmissive red/IR PPG | 3-axis accelerometer,"Three synchronized cohorts: controlled stimuli, semi-free-living activities and treadmill running; RingTool provides signal-processing and DL baselines.","54 adults; controlled+daily benchmarks: SBP/DBP MAE 12.98/7.64 mmHg, HR 5.33 bpm, RR 2.98 breaths/min, SpO2 1.72%.",benchmark-dependent,,not_reported,Dataset paper does not establish a product calibration protocol.,dataset benchmark dependent,Downstream users must preserve subject separation.,cross-cohort stress test,treadmill cohort,"Motion cohort tests transfer, but BP benchmark is mainly controlled/daily.",research-enabler,真实 wearable 数据价值高，BP 精度有限,ring PPG | accelerometer,false,Supports rejection/robustness research under arm swing.,medium,not reported as target-dependent,synchronized labels are dataset ground truth,benchmark-defined; audit before reuse,quality controls present; target dependence not established,not inherent,possible if windows are shuffled,must be actively prevented,Benchmark MAE is not a consumer-device validation.,priority-reviewed,2026-08-24,重点深审。
ppgbp-062-validation-of-photoplethysmography-derived-short-term-heart-rate-variabi,Validation of photoplethysmography-derived short-term heart rate variability using a wearable device,2026,2026-08-24,paper,Scientific Reports,,,daily-index-only,PPG | wearable deployment,not_reported,PPG | IMU/context (possible),首批索引记录；方法细节待全文二次核验。,首批索引记录；定量结果待全文二次核验。,unknown,,unknown,论文未完成校准字段核验。,unknown,未完成全文核验。,unknown,,未完成全文核验。,unknown,待核验,PPG | IMU/context (possible),unknown,不得将日报摘要直接等同于产品可部署证据。,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,未完成全文级审计。,preliminary-index,2026-08-24,来自此前 PPG 科研日报的首批去重索引。
